"Um eine möglichst effiziente, automatisierte Verarbeitung der Prozesse zu gewährleisten, wird – soweit möglich – beim elektronischen Datenaustausch eine Identifizierung bestimmter Informationen durch Codes vorgenommen.
Zu diesem Zweck vergibt DB Energie im Auftrag des BDEW die MP-ID/Codenummer für die Anschlussnutzer sowie bei Bedarf den Dienstleistern der Nutzer. Darüber hinaus können Netzbetreiber, Lieferanten und BKV im Rahmen einer Interimslösung eine neben der BDEW-Codenummer zusätzliche MP-ID/Codenummer für die jeweilige Marktrolle bei DB Energie beantragen. Die unten aufgeführten MP-ID gelten ausschließlich im Bahnstromnetz.";
;
ANu-vEns (Nutzer) im Bahnstromnetz;
Unternehmensname;MP-ID/Codenummer im Bahnstromnetz
KGT Gleis- und Tiefbau GmbH;1900100303636
zl-traktion GmbH;1900100303644
Rail Cargo Logistics - Germany GmbH;1900100303652
Altmark-Rail GmbH;1900100303660
Rail&Sea Traction GmbH;1900100303678
MDrivers B.V.;1900100303686
Anschütz & Richter GbR;1900100303694
Willke Logistics GmbH;1900100303701
CAF Deutschland GmbH;1900100303719
Am Zehnhoff-Söns GmbH International Railway Services;1900100303727
Flexx-Tf Dienstleistungen UG (haftungsbeschränkt);1900100303735
GTS Rail S.p.A.;1900100303743
Traktion4Rent GmbH;1900100303751
Historische S-Bahn NRW e.V.;1900100303769
Rhomberg Sersa Gleisbau GmbH;1900100303777
VLO Bahn GmbH;1900100303785
Hanse Bahn Nord GmbH;1900100303793
GMP Green Mobility Partners GmbH;1900100303800
Regionalverkehre Start Deutschland GmbH;1900100303818
Mambar Rail GmbH;1900100303826
dispo-Tf Rail Austria GmbH;1900100303834
TFR Cargo GmbH;1900100303842
Keolis Nederland B.V.;1900100303850
Plasser & Theurer, Export von Bahnbaumaschinen, Gesellschaft m.b.H.;1900100303868
D & D Eisenbahngesellschaft mbH;1900100303876
ART Altmann Rail Traction GmbH;1900100303884
European Vision Rail GmbH;1900100303892
Rail Unit GmbH;1900100303909
eisenbahn.jetzt GmbH;1900100303917
PORR Bau GmbH;1900100303925
Bahnoperator Polska Sp. z o.o;1900100303933
Idun Rail GmbH;1900100303941
Rail Traction Company S.p.A.;1900100303959
WECO Rail Germany GmbH;1900100303967
BASF SE;1900100303975
1435 railway operations GmbH & Co. KG;1900100303983
Cargo Motion s.r.o.;1900100303991
Bentheimer Eisenbahn AG;1900100304006
Cargo Rail Solutions GmbH;1900100304014
Projektbahn Mobility GmbH;1900100304022
Eisenbahn-Güterlogistik GmbH;1900100304030
Nordic Re-Finance AB;1900100304048
City-Bahn Chemnitz GmbH;1900100304056
Arriva Personalvervoer Nederland B.V.;1900100304064
WDW-Rail Nederland BV;1900100304072
WLD Logistik GmbH;1900100304080
KSW Kreisbahn Siegen-Wittgenstein GmbH;1900100304098
;
;
ANe-tEns (Halter) im Bahnstromnetz;
Unternehmensname;MP-ID/Codenummer im Bahnstromnetz
Die Länderbahn GmbH DLB;1900100400010
ITL-Eisenbahngesellschaft mbH;1900100400028
cantus Verkehrsgesellschaft mbH;1900100400036
boxXpress.de GmbH;1900100400044
Beacon Rail Capital Europe GmbH;1900100400052
Railpool GmbH;1900100400060
Rail4Captrain GmbH;1900100400078
eurobahn GmbH & Co. KG;1900100400086
Regiobahn Bitterfeld Berlin GmbH;1900100400094
Captrain Deutschland CargoWest GmbH;1900100400101
RheinCargo GmbH & Co. KG;1900100400119
CFL Cargo Deutschland GmbH;1900100400127
ODEG Ostdeutsche Eisenbahn GmbH;1900100400135
VIAS GmbH;1900100400143
Westfälische Landes-Eisenbahn GmbH;1900100400151
Holzlogistik & Güterbahn GmbH;1900100400169
CFL Cargo S.A.;1900100400177
METRANS Rail (Deutschland) GmbH;1900100400185
Albtal-Verkehrs-Gesellschaft mbH;1900100400193
ELL Germany GmbH;1900100400200
metronom Eisenbahngesellschaft mbH;1900100400218
Niederrheinische Verkehrsbetriebe AG;1900100400226
trans regio Deutsche Regionalbahn GmbH;1900100400234
NordWestBahn GmbH;1900100400242
SBB GmbH;1900100400250
Rail Cargo Carrier - Germany GmbH;1900100400276
SBB Cargo Deutschland GmbH;1900100400284
agilis Eisenbahngesellschaft mbH & Co. KG;1900100400292
Bayerische Oberlandbahn GmbH;1900100400309
BLS Cargo Nord NV;1900100400317
HSL Logistik GmbH;1900100400325
NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;1900100400333
WestfalenBahn GmbH;1900100400341
Akiem S.A.S.;1900100400359
Havelländische Eisenbahn AG;1900100400367
Regental Bahnbetriebs-GmbH;1900100400375
ArcelorMittal Eisenhüttenstadt Transport GmbH;1900100400383
LTE Logistik- und Transport-GmbH;1900100400391
Transchem Spolka z o.o.;1900100400408
Verkehrsbetriebe Peine-Salzgitter GmbH;1900100400416
METRANS Rail s.r.o.;1900100400424
Captrain Deutschland GmbH;1900100400432
SBB Cargo AG;1900100400440
TSS Cargo a.s.;1900100400458
Stauden-Verkehrs-GmbH;1900100400466
METRANS a.s.;1900100400474
SRI Rail Invest GmbH;1900100400482
Mittelweserbahn GmbH;1900100400565
Akiem Technik Germany GmbH & Co. KG;1900100400573
LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;1900100400581
Alstom Transport Deutschland GmbH;1900100400599
National Express Rail GmbH;1900100400606
HLB Hessenbahn GmbH;1900100400614
EVB Elbe-Weser GmbH;1900100400630
Regionalbahn Kassel GmbH;1900100400648
RegioTram Gesellschaft mbH;1900100400656
TX Logistik AG;1900100400664
IGE GmbH & Co. KG;1900100400672
Emons Bahntransporte GmbH;1900100400698
Saarbahn GmbH;1900100400705
Abellio Rail Mitteldeutschland GmbH;1900100400713
Abellio Rail GmbH;1900100400721
TX Logistik Transalpine GmbH;1900100400739
Alpha Trains Luxembourg S.á.r.l.;1900100400747
Transdev Mitteldeutschland GmbH;1900100400820
Macquarie European Rail Limited;1900100400838
Hector Rail AB;1900100400846
Beacon Rail Leasing Limited;1900100400854
Transdev Regio GmbH;1900100400862
ÖBB-Produktion GmbH;1900100400870
LOKOMOTION Gesellschaft für Schienentraktion mbH;1900100400888
RAG Anthrazit Ibbenbüren GmbH;1900100400896
SVG Schienenverkehrsgesellschaft mbH;1900100400903
RTS Rail Transport Service GmbH;1900100400911
PKP CARGO S. A. w restrukturyzacji;1900100400929
Train4you Betriebs GmbH;1900100400937
ŠKODA TRANSPORTATION a.s.;1900100400945
Vorbereitungsgesellschaft Transporttechnik mbH;1900100400961
Intermodal Terminal Rzepin Sp. Z o.o.;1900100400979
Railtraxx NV;1900100400987
Rhenus Rail St. Ingbert GmbH;1900100400995
Mindener Kreisbahnen GmbH;1900100401000
UEF Eisenbahn-Verkehrsgesellschaft mbH;1900100401018
BTE BahnTouristikExpress GmbH;1900100401026
RailAdventure GmbH;1900100401034
