source_system;source_field;source_value;role_code;official_company_name;market_partner_id;active_flag;match_method;match_score;manual_review;comment
RailCube/DataLake;Company name;KombiRail Europe B.V.;ANU_VENS;KombiRail Europe B.V.;1900100301284;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;SWEG Südwestdeutsche Verkehrs-Aktiengesellschaft;ANU_VENS;SWEG Südwestdeutsche Landesverkehrs-GmbH;1900100301292;N;PROPOSED_MEDIUM;90.6;Y;
RailCube/DataLake;Company name;Société Nationale des Chemins de Fer Tunisiens;ANU_VENS;SNCFL Société Nationale des Chemins de Fer Luxembourgeois;1900100301309;N;PROPOSED_MEDIUM;87.8;Y;
RailCube/DataLake;Company name;EGM Eisenbahngesellschaft Magdeburg GmbH;ANU_VENS;e.g.o.o. Eisenbahngesellschaft Ostfriesland-Oldenburg mbH;1900100301317;N;PROPOSED_LOW;75.0;Y;
RailCube/DataLake;Company name;SBB Cargo AG;ANU_VENS;SBB AG;1900100301325;N;PROPOSED_MEDIUM;80.0;Y;
RailCube/DataLake;Company name;ESG Eisenbahn Service Gesellschaft mbH;ANU_VENS;ESG Eisenbahn Service Gesellschaft mbH;1900100301333;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Rotterdam Rail Feeding;ANU_VENS;Rotterdam Rail Feeding B.V.;1900100301341;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;D und D Eisenbahngesellschaft mbH;ANU_VENS;Bocholter Eisenbahngesellschaft mbH;1900100301359;N;PROPOSED_LOW;95.5;Y;
RailCube/DataLake;Company name;Centralbahn GmbH;ANU_VENS;Centralbahn AG;1900100301367;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;CTL Logistics GmbH;ANU_VENS;CTL Logistics GmbH;1900100301375;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;ERS Railways BV;ANU_VENS;ERS Railways B.V.;1900100301383;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;Nordliner Gesellschaft für Eisenbahnverkehr mbH;ANU_VENS;GfE Ges. für Eisenbahnbetrieb mbH;1900100301391;N;PROPOSED_LOW;65.8;Y;
RailCube/DataLake;Company name;ÖBB Personenverkehr AG;ANU_VENS;ÖBB-Personenverkehr AG;1900100301408;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;InfraLeuna GmbH;ANU_VENS;InfraLeuna GmbH;1900100301416;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;MZ Eisenbahndienstleistungen GmbH;ANU_VENS;Rail 4U - Eisenbahndienstleistungen;1900100301424;N;PROPOSED_HIGH;94.3;Y;
RailCube/DataLake;Company name;Eichholz EIVEL GmbH;ANU_VENS;Eichholz Eivel GmbH;1900100301432;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Cargo Logistik Rail Service GmbH;ANU_VENS;Cargo Logistik Rail Service GmbH;1900100301440;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;MEV Eisenbahn-Verkehrsgesellschaft mbH;ANU_VENS;MEV Eisenbahn-Verkehrsgesellschaft mbH;1900100301458;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Montan Speditionsges.m.b.H;ANU_VENS;Traditionsgemeinschaft Bw Halle P e.V.;1900100301466;N;PROPOSED_LOW;57.6;Y;
RailCube/DataLake;Company name;Rail Cargo Austria GmbH;ANU_VENS;Rail Cargo Austria AG;1900100301474;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;LTE NL - LTE Netherlands B.V.;ANU_VENS;LTE Netherlands B.V.;1900100301482;Y;AUTO_COSMETIC;100.0;N;
